outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id
21.97,4.82,1557.33,22782
1710.08,136.88,7267.55,22783
1710.08,136.88,7267.55,22784
94.46,35.17,519.12,22785
71.59,79.26,1557.33,22786
71.59,79.26,1557.33,22787
71.59,79.26,519.12,22788
71.59,79.26,519.12,22789
30.92,22.77,3114.67,22790
69.8,14.7,25955.55,22791
77.3,39.65,2600.48,22801
